name,ingredients,diet,prep_time,cook_time,flavor_profile,course,region
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,East
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,West
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,North
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,West
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,East
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,East
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,North
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,East
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,North
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,North
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,East
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,North
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,West
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,North
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,North
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,East
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,East
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,East
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,East
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,East
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,North East
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,North
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,East
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,East
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,East
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,North East
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,East
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,East
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,East
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,East
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,East
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,South
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,South
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,West
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,South
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,South
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,South
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,South
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,South
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,South
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,South
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,South
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,South
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,South
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,South
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,South
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,South
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,South
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,South
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,West
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,West
Dhondas,"Cucumber, rava",vegetarian,10,50,sweet,dessert,West
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,West
Mahim halwa,"Semolina, sugar",vegetarian,10,25,sweet,dessert,West
Modak,"Rice flour, coconut, jaggery",vegetarian,10,15,sweet,dessert,West
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,West
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,West
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,West
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,North East
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,North East
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,North East
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,North
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,North
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,North
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,North
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,North
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,North
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,South
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,North
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,North
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,East
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,North
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,North
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,North
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,West
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,East
Dal makhani,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,North
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,North
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,North
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,West
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,North
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,North
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,North
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,North
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,North
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,North
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,North
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,North
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,North
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,North
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,North
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,North
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,North
